epoch,accuracy,loss,val_accuracy,val_loss
0,0.7680000066757202,0.6340088248252869,0.8112499713897705,0.40299180150032043
1,0.8654999732971191,0.36576616764068604,0.8512499928474426,0.346339613199234
2,0.8849999904632568,0.29421088099479675,0.8712499737739563,0.33033305406570435
3,0.8985000252723694,0.26697906851768494,0.9012500047683716,0.2733651399612427
4,0.9225000143051147,0.21486151218414307,0.875,0.43749764561653137
5,0.934499979019165,0.19622090458869934,0.90625,0.28251492977142334
6,0.9304999709129333,0.17211271822452545,0.8999999761581421,0.32942691445350647
7,0.9399999976158142,0.17061525583267212,0.8949999809265137,0.29612651467323303
8,0.9595000147819519,0.1379832774400711,0.8762500286102295,0.4951093792915344
9,0.9539999961853027,0.1336357295513153,0.887499988079071,0.37195345759391785
